#{"t_start": 1764313774.8809488, "env_id": "FlappyBird-v0"}
r,l,t
12.9,122,26.943578
8.4,86,26.977515
6.1,63,27.000906
3.9,50,27.02043
8.4,86,27.052088
8.4,86,27.088257
6.7,69,27.114034
12.9,122,27.160387
3.9,50,27.17891
18.3,167,27.24319
8.6,88,27.276123
10.9,102,27.313988
3.9,50,27.333332
5.0,61,27.356098
3.9,50,27.375079
3.9,50,27.393355
3.9,50,27.412716
3.9,50,27.431064
4.4,55,27.452299
3.9,50,27.471142
3.9,50,27.490413
13.6,129,27.539222
3.9,50,27.559173
3.9,50,27.580679
12.9,122,27.629142
3.9,50,27.648023
8.4,86,27.682019
3.9,50,27.700311
3.9,50,27.719817
5.0,61,27.742826
15.4,138,27.794661
8.4,86,27.82739
4.0,51,27.847554
4.5,56,27.869114
8.4,86,27.902438
8.4,86,27.935231
8.4,86,27.967192
13.7,130,28.015982
9.4,96,28.051481
4.0,51,28.070024
15.7,141,28.12319
6.5,67,28.147623
8.4,86,28.179983
3.9,50,28.198261
6.3,65,28.223854
6.0,62,28.246714
8.4,86,28.279456
3.9,50,28.297701
8.4,86,28.33066
3.9,50,28.348927
13.6,129,28.397599
8.4,86,28.431183
8.4,86,28.463802
6.6,68,28.489563
9.0,92,28.526734
3.9,50,28.54628
12.9,122,28.593489
8.4,86,28.628185
8.4,86,28.660641
6.2,64,28.68524
8.7,89,28.720446
3.9,50,28.739105
3.9,50,28.758753
10.6,99,28.802508
10.6,99,28.84074
8.4,86,28.874701
8.4,86,28.906974
8.9,91,28.941846
6.2,64,28.965925
3.9,50,28.984445
4.3,54,29.010408
8.4,86,29.049123
8.4,86,29.084626
6.6,68,29.11053
8.4,86,29.143402
3.9,50,29.163619
3.9,50,29.182035
15.2,136,29.232906
12.9,122,29.278084
4.1,52,29.297515
4.6,57,29.318511
9.2,94,29.353682
6.2,64,29.377743
15.3,137,29.429549
13.2,125,29.476337
8.4,86,29.50883
6.6,68,29.534029
22.4,199,29.607413
6.4,66,29.632278
6.8,70,29.657945
